Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Gatekeeper of Malakir,FDN,Foundations,713,foil,uncommon,1,100306,2cd61c12-f5e2-4698-9080-097679754f16,0.26,false,false,mint,en,USD
Gateway Sneak,FDN,Foundations,592,normal,uncommon,1,100366,3834176f-29c5-4511-87d6-75d0c348a770,0.15,false,false,mint,en,USD
Genesis Wave,FDN,Foundations,334,normal,rare,1,100465,4b51445b-1590-4072-9712-5ca344b25e3e,1.49,false,false,mint,en,USD
Genesis Wave,FDN,Foundations,221,normal,rare,3,101177,d46f7ddb-f986-4f1f-b096-ae1a02d0bdc8,0.4,false,false,mint,en,USD
Ghitu Lavarunner,FDN,Foundations,623,normal,common,2,100794,8940d76d-c09f-4d72-a037-439c70ee8d9d,0.15,false,false,mint,en,USD
Giant Cindermaw,FDN,Foundations,624,normal,uncommon,1,101190,d65f5298-0e57-49cf-aaf5-2bb16f3e636c,0.21,false,false,mint,en,USD
Giant Growth,FDN,Foundations,223,normal,common,3,101073,bd0bf74e-14c1-4428-88d8-2181a080b5d0,0.15,false,false,mint,en,USD
Gigantosaurus,FDN,Foundations,718,foil,rare,1,101065,bc1c518a-dcb4-407c-85be-ed5935a24198,2.67,false,false,mint,en,USD
Gilded Lotus,FDN,Foundations,725,foil,rare,1,100962,aa5e88f1-0ddf-45d7-bbd0-baa88d121867,1.38,false,false,mint,en,USD
Gleaming Barrier,FDN,Foundations,252,normal,common,3,101479,1b49b009-e6f2-494a-9235-f5c25c2d70a9,0.13,false,false,mint,en,USD
Gnarlback Rhino,FDN,Foundations,638,normal,uncommon,1,100639,6b638f3d-7eb6-4675-9538-4a87a7f75c43,0.15,false,false,mint,en,USD
Goblin Boarders,FDN,Foundations,87,normal,common,3,101506,4409a063-bf2a-4a49-803e-3ce6bd474353,0.08,false,false,mint,en,USD
Goblin Boarders,FDN,Foundations,87,foil,common,1,101506,4409a063-bf2a-4a49-803e-3ce6bd474353,0.1,false,false,mint,en,USD
Goblin Firebomb,FDN,Foundations,562,normal,common,1,101515,55ab3f99-9541-4100-818c-5d9e916791e4,0.26,false,false,mint,en,USD
Goblin Negotiation,FDN,Foundations,88,normal,uncommon,1,101335,f2016585-e26c-4d13-b09f-af6383c192f7,0.15,false,false,mint,en,USD
